sample-id	Genotype	Day	Treatment
MBSF1	LRV_0_1	D1	Wastewater_Daphnia
<<<<<<< HEAD
MBSF2	LRV_0_1	D1	Wastewater_Daphnia	
=======
MBSF2	LRV_0_1	D1	Wastewater_Daphnia
>>>>>>> aff36462ee053dc7977f038b659ede8bca818ea6
MBSF3	LRV_0_1	D1	Wastewater_Daphnia
MBSF4	LRV_0_1	D2	Wastewater_Daphnia
MBSF5	LRV_0_1	D2	Wastewater_Daphnia
MBSF6	LRV_0_1	D2	Wastewater_Daphnia
MBSF7	LRV_0_1	D3	Wastewater_Daphnia
MBSF8	LRV_0_1	D3	Wastewater_Daphnia
<<<<<<< HEAD
MBSF9	LRV_0_1	D3	WasteWater_Daphnia
=======
MBSF9	LRV_0_1	D3	Wastewater_Daphnia
>>>>>>> aff36462ee053dc7977f038b659ede8bca818ea6
R1D1BW	CONTROL	D1	Wastewater_Control
R2D1BW	CONTROL	D1	Wastewater_Control
R3D1BW	CONTROL	D1	Wastewater_Control
R1D2BW	CONTROL	D2	Wastewater_Control
R2D2BW	CONTROL	D2	Wastewater_Control
R3D2BW8532	CONTROL	D2	Wastewater_Control
R1D3BW	CONTROL	D3	Wastewater_Control
<<<<<<< HEAD
R2D3BW	CONTROL	D3	WasteWater_Control
R3D3BW	CONTROL	D3	WasteWater_Control
=======
R2D3BW	CONTROL	D3	Wastewater_Control
R3D3BW	CONTROL	D3	Wastewater_Control
>>>>>>> aff36462ee053dc7977f038b659ede8bca818ea6
